"","GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"1","False","Adult","Prole","Adventurous","Older","Moderate","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Many"
"2","False","Senior","Prole","Cautious","Current","None","Football","None","Economy","Normal","TwentyThou","False","Normal","True","Thousand","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"3","False","Senior","UpperMiddle","Psychopath","Current","None","Football","None","FamilySedan","Excellent","Domino","True","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","One"
"4","False","Adolescent","Middle","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"5","False","Adolescent","Prole","Normal","Older","Moderate","Football","Moderate","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Many"
"6","False","Adult","UpperMiddle","Normal","Current","Moderate","EggShell","Moderate","SportsCar","Poor","FiftyThou","True","SubStandard","False","HundredThou","False","TwentyThou","Suburb","True","HundredThou","HundredThou","True","TenThou","Poor","True","Thousand","Many"
"7","False","Senior","UpperMiddle","Normal","Current","Mild","Football","Mild","Economy","Poor","FiveThou","False","SubStandard","False","TenThou","False","TenThou","Secure","True","TenThou","Thousand","False","Thousand","Excellent","True","Thousand","Many"
"8","False","Adult","Prole","Normal","Older","Severe","EggShell","Severe","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","Million","HundredThou","True","Thousand","Fair","False","Thousand","Many"
"9","False","Adult","Prole","Normal","Older","Severe","EggShell","Severe","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","TenThou","False","TenThou","Poor","False","Thousand","Many"
"10","True","Adolescent","Prole","Cautious","Older","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","City","True","HundredThou","HundredThou","True","Thousand","Good","False","Thousand","Many"
"11","False","Adult","Prole","Adventurous","Current","None","Football","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"12","False","Adult","Prole","Normal","Older","Severe","EggShell","Moderate","Economy","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","HundredThou","Many"
"13","False","Adult","Prole","Normal","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","One"
"14","False","Adult","UpperMiddle","Normal","Older","None","Tank","None","Luxury","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"15","False","Adult","Middle","Normal","Older","None","Football","Mild","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Many"
"16","False","Adult","Middle","Cautious","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"17","False","Adult","Prole","Normal","Older","Moderate","EggShell","Moderate","SportsCar","Poor","FiftyThou","False","SubStandard","False","HundredThou","False","TwentyThou","City","False","Million","HundredThou","False","Thousand","Poor","False","Thousand","Many"
"18","False","Adult","Prole","Normal","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Rural","False","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"19","False","Adult","Prole","Psychopath","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","One"
"20","True","Adolescent","UpperMiddle","Normal","Current","None","Football","None","Luxury","Normal","Domino","True","Normal","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"21","False","Senior","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"22","True","Adolescent","UpperMiddle","Adventurous","Older","Mild","Football","Mild","Luxury","Poor","FiftyThou","True","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Many"
"23","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"24","False","Senior","Prole","Normal","Older","Mild","EggShell","Mild","Economy","Poor","FiveThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Many"
"25","False","Senior","Prole","Adventurous","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"26","False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","True","Thousand","False","TenThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"27","False","Adult","Prole","Normal","Older","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"28","False","Adult","Middle","Normal","Older","Mild","Tank","Mild","FamilySedan","Normal","FiveThou","False","Normal","False","TenThou","False","TenThou","Suburb","False","TenThou","Thousand","True","Thousand","Excellent","False","Thousand","Zero"
"29","False","Adolescent","Middle","Cautious","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"30","False","Adolescent","Prole","Psychopath","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","One"
"31","False","Senior","Middle","Normal","Current","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","True","Thousand","False","TenThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"32","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","One"
"33","False","Adult","Middle","Adventurous","Current","Severe","Football","Severe","FamilySedan","Poor","Domino","False","SubStandard","False","HundredThou","False","TwentyThou","Rural","False","HundredThou","TenThou","False","Thousand","Excellent","True","Thousand","Many"
"34","False","Adult","Prole","Cautious","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","True","TenThou","Thousand","True","HundredThou","Fair","False","Thousand","Zero"
"35","False","Adult","Middle","Normal","Older","None","Tank","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","True","Thousand","Thousand","False","Thousand","Good","False","Thousand","Zero"
"36","False","Senior","UpperMiddle","Cautious","Current","None","EggShell","None","FamilySedan","Excellent","Domino","False","Normal","True","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"37","False","Adult","Prole","Cautious","Older","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","True","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"38","False","Adult","Prole","Adventurous","Older","Moderate","EggShell","Moderate","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","Rural","False","HundredThou","HundredThou","True","Thousand","Poor","False","Thousand","Many"
"39","False","Senior","UpperMiddle","Cautious","Older","None","EggShell","None","SportsCar","Excellent","TwentyThou","False","Expert","True","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"40","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","One"
"41","False","Adolescent","Middle","Normal","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"42","False","Senior","UpperMiddle","Normal","Current","Severe","EggShell","Severe","FamilySedan","Poor","FiftyThou","False","SubStandard","False","HundredThou","False","TwentyThou","Rural","True","HundredThou","Thousand","True","Million","Poor","True","Thousand","Many"
"43","False","Adult","Middle","Normal","Older","None","EggShell","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","Rural","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"44","False","Adult","Middle","Normal","Older","None","EggShell","None","Economy","Poor","FiveThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Many"
"45","False","Adult","Middle","Adventurous","Current","None","EggShell","None","FamilySedan","Excellent","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"46","False","Adult","Prole","Adventurous","Older","Severe","EggShell","Severe","Economy","Poor","TwentyThou","False","Normal","False","TenThou","False","FiveThou","City","False","Million","HundredThou","False","Thousand","Poor","False","Thousand","Many"
"47","False","Adult","UpperMiddle","Adventurous","Current","None","Tank","Mild","Luxury","Poor","Domino","True","SubStandard","False","Thousand","False","FiftyThou","Secure","False","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"48","False","Adult","UpperMiddle","Cautious","Current","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"49","False","Adolescent","UpperMiddle","Adventurous","Current","Mild","EggShell","Mild","SportsCar","Poor","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","TenThou","Thousand","True","Thousand","Poor","True","Thousand","One"
"50","False","Adolescent","UpperMiddle","Normal","Current","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"51","False","Adult","Prole","Normal","Current","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","City","False","TenThou","Thousand","False","Thousand","Good","True","Thousand","Zero"
"52","False","Senior","Prole","Normal","Older","None","Football","None","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Good","False","Thousand","Many"
"53","False","Adolescent","Middle","Normal","Older","Severe","EggShell","Severe","SportsCar","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Secure","False","TenThou","TenThou","True","Thousand","Poor","False","TenThou","Many"
"54","False","Senior","Prole","Normal","Current","None","Tank","None","FamilySedan","Normal","FiftyThou","False","Normal","True","Thousand","False","TwentyThou","Rural","False","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"55","False","Adult","Middle","Cautious","Current","None","Football","None","SportsCar","Poor","TwentyThou","True","SubStandard","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"56","False","Adult","Prole","Adventurous","Current","Severe","Football","Severe","Economy","Poor","TwentyThou","False","Normal","False","TenThou","False","TenThou","City","False","HundredThou","HundredThou","True","Thousand","Good","True","Thousand","Zero"
"57","False","Adult","Prole","Normal","Older","Mild","EggShell","Mild","Economy","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"58","False","Adult","Wealthy","Normal","Current","None","Football","None","Luxury","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"59","False","Senior","Middle","Cautious","Older","None","Tank","None","FamilySedan","Excellent","FiftyThou","False","Expert","True","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"60","False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","True","Thousand","False","FiveThou","Rural","True","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"61","False","Adult","Prole","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Rural","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"62","False","Adult","Middle","Normal","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","TenThou","Suburb","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"63","False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","True","Thousand","False","FiveThou","City","True","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"64","True","Adolescent","Prole","Cautious","Current","Moderate","EggShell","Moderate","SportsCar","Poor","FiftyThou","True","SubStandard","False","HundredThou","False","TwentyThou","Rural","True","HundredThou","HundredThou","False","Thousand","Fair","True","Thousand","Zero"
"65","False","Adolescent","Middle","Normal","Current","None","Football","None","FamilySedan","Poor","TwentyThou","True","SubStandard","False","Thousand","False","TwentyThou","Suburb","True","TenThou","Thousand","False","Thousand","Good","True","Thousand","Many"
"66","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"67","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"68","False","Adult","Prole","Normal","Older","None","Football","None","Economy","Poor","FiveThou","False","SubStandard","False","Thousand","False","TenThou","City","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Many"
