2024-06-02 21:11:20 startup archives unpack
2024-06-02 21:12:05 upgrade libpq5:amd64 14.11-0ubuntu0.22.04.1 14.12-0ubuntu0.22.04.1
2024-06-02 21:12:05 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2024-06-02 21:12:05 status half-configured libpq5:amd64 14.11-0ubuntu0.22.04.1
2024-06-02 21:12:05 status unpacked libpq5:amd64 14.11-0ubuntu0.22.04.1
2024-06-02 21:12:05 status half-installed libpq5:amd64 14.11-0ubuntu0.22.04.1
2024-06-02 21:12:07 status unpacked libpq5:amd64 14.12-0ubuntu0.22.04.1
2024-06-02 21:12:08 startup packages configure
2024-06-02 21:12:08 configure libpq5:amd64 14.12-0ubuntu0.22.04.1 <none>
2024-06-02 21:12:08 status unpacked libpq5:amd64 14.12-0ubuntu0.22.04.1
2024-06-02 21:12:08 status half-configured libpq5:amd64 14.12-0ubuntu0.22.04.1
2024-06-02 21:12:08 status installed libpq5:amd64 14.12-0ubuntu0.22.04.1
2024-06-02 21:12:09 trigproc libc-bin:amd64 2.35-0ubuntu3.8 <none>
2024-06-02 21:12:09 status half-configured libc-bin:amd64 2.35-0ubuntu3.8
2024-06-02 21:12:12 status installed libc-bin:amd64 2.35-0ubuntu3.8
2024-06-03 12:02:30 startup archives unpack
2024-06-03 12:02:53 install gnome-tweaks:all <none> 42~beta-1ubuntu2
2024-06-03 12:02:53 status half-installed gnome-tweaks:all 42~beta-1ubuntu2
2024-06-03 12:02:53 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2024-06-03 12:02:53 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-03 12:02:53 status triggers-pending desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-03 12:02:53 status triggers-pending libglib2.0-0:i386 2.72.4-0ubuntu2.3
2024-06-03 12:02:54 status triggers-pending libglib2.0-0:amd64 2.72.4-0ubuntu2.3
2024-06-03 12:02:55 status triggers-pending hicolor-icon-theme:all 0.17-2
2024-06-03 12:02:57 status unpacked gnome-tweaks:all 42~beta-1ubuntu2
2024-06-03 12:02:57 startup packages configure
2024-06-03 12:02:57 configure gnome-tweaks:all 42~beta-1ubuntu2 <none>
2024-06-03 12:02:57 status unpacked gnome-tweaks:all 42~beta-1ubuntu2
2024-06-03 12:02:57 status half-configured gnome-tweaks:all 42~beta-1ubuntu2
2024-06-03 12:02:58 status triggers-awaited gnome-tweaks:all 42~beta-1ubuntu2
2024-06-03 12:02:58 trigproc desktop-file-utils:amd64 0.26-1ubuntu3 <none>
2024-06-03 12:02:58 status half-configured desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-03 12:02:59 status installed desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-03 12:02:59 trigproc hicolor-icon-theme:all 0.17-2 <none>
2024-06-03 12:02:59 status half-configured hicolor-icon-theme:all 0.17-2
2024-06-03 12:03:00 status installed hicolor-icon-theme:all 0.17-2
2024-06-03 12:03:00 trigproc gnome-menus:amd64 3.36.0-1ubuntu3 <none>
2024-06-03 12:03:00 status half-configured gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-03 12:03:00 status installed gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-03 12:03:00 trigproc libglib2.0-0:i386 2.72.4-0ubuntu2.3 <none>
2024-06-03 12:03:00 status half-configured libglib2.0-0:i386 2.72.4-0ubuntu2.3
2024-06-03 12:03:02 status installed libglib2.0-0:i386 2.72.4-0ubuntu2.3
2024-06-03 12:03:02 trigproc libglib2.0-0:amd64 2.72.4-0ubuntu2.3 <none>
2024-06-03 12:03:02 status half-configured libglib2.0-0:amd64 2.72.4-0ubuntu2.3
2024-06-03 12:03:02 status installed gnome-tweaks:all 42~beta-1ubuntu2
2024-06-03 12:03:03 status installed libglib2.0-0:amd64 2.72.4-0ubuntu2.3
2024-06-03 12:03:03 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2024-06-03 12:03:03 status half-configured mailcap:all 3.70+nmu1ubuntu1
2024-06-03 12:03:03 status installed mailcap:all 3.70+nmu1ubuntu1
2024-06-03 12:05:48 startup archives unpack
2024-06-03 12:05:48 install chrome-gnome-shell:all <none> 10.1-5
2024-06-03 12:05:48 status half-installed chrome-gnome-shell:all 10.1-5
2024-06-03 12:05:49 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2024-06-03 12:05:49 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-03 12:05:49 status triggers-pending desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-03 12:05:50 status unpacked chrome-gnome-shell:all 10.1-5
2024-06-03 12:05:50 install gnome-shell-extension-prefs:amd64 <none> 42.9-0ubuntu2.1
2024-06-03 12:05:50 status half-installed gnome-shell-extension-prefs:amd64 42.9-0ubuntu2.1
2024-06-03 12:05:51 status unpacked gnome-shell-extension-prefs:amd64 42.9-0ubuntu2.1
2024-06-03 12:05:51 install gnome-shell-extensions:all <none> 42.1-0ubuntu1
2024-06-03 12:05:51 status half-installed gnome-shell-extensions:all 42.1-0ubuntu1
2024-06-03 12:05:51 status triggers-pending libglib2.0-0:i386 2.72.4-0ubuntu2.3
2024-06-03 12:05:52 status triggers-pending libglib2.0-0:amd64 2.72.4-0ubuntu2.3
2024-06-03 12:05:58 status unpacked gnome-shell-extensions:all 42.1-0ubuntu1
2024-06-03 12:05:58 startup packages configure
2024-06-03 12:05:58 configure gnome-shell-extensions:all 42.1-0ubuntu1 <none>
2024-06-03 12:05:58 status unpacked gnome-shell-extensions:all 42.1-0ubuntu1
2024-06-03 12:05:58 status half-configured gnome-shell-extensions:all 42.1-0ubuntu1
2024-06-03 12:05:58 status triggers-awaited gnome-shell-extensions:all 42.1-0ubuntu1
2024-06-03 12:05:58 configure chrome-gnome-shell:all 10.1-5 <none>
2024-06-03 12:05:58 status unpacked chrome-gnome-shell:all 10.1-5
2024-06-03 12:05:58 status half-configured chrome-gnome-shell:all 10.1-5
2024-06-03 12:05:59 status installed chrome-gnome-shell:all 10.1-5
2024-06-03 12:05:59 configure gnome-shell-extension-prefs:amd64 42.9-0ubuntu2.1 <none>
2024-06-03 12:05:59 status unpacked gnome-shell-extension-prefs:amd64 42.9-0ubuntu2.1
2024-06-03 12:05:59 status half-configured gnome-shell-extension-prefs:amd64 42.9-0ubuntu2.1
2024-06-03 12:05:59 status installed gnome-shell-extension-prefs:amd64 42.9-0ubuntu2.1
2024-06-03 12:05:59 trigproc gnome-menus:amd64 3.36.0-1ubuntu3 <none>
2024-06-03 12:05:59 status half-configured gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-03 12:05:59 status installed gnome-menus:amd64 3.36.0-1ubuntu3
2024-06-03 12:05:59 trigproc libglib2.0-0:i386 2.72.4-0ubuntu2.3 <none>
2024-06-03 12:05:59 status half-configured libglib2.0-0:i386 2.72.4-0ubuntu2.3
2024-06-03 12:05:59 status installed libglib2.0-0:i386 2.72.4-0ubuntu2.3
2024-06-03 12:05:59 trigproc libglib2.0-0:amd64 2.72.4-0ubuntu2.3 <none>
2024-06-03 12:05:59 status half-configured libglib2.0-0:amd64 2.72.4-0ubuntu2.3
2024-06-03 12:05:59 status installed gnome-shell-extensions:all 42.1-0ubuntu1
2024-06-03 12:06:00 status installed libglib2.0-0:amd64 2.72.4-0ubuntu2.3
2024-06-03 12:06:00 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2024-06-03 12:06:00 status half-configured mailcap:all 3.70+nmu1ubuntu1
2024-06-03 12:06:00 status installed mailcap:all 3.70+nmu1ubuntu1
2024-06-03 12:06:00 trigproc desktop-file-utils:amd64 0.26-1ubuntu3 <none>
2024-06-03 12:06:00 status half-configured desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-03 12:06:00 status installed desktop-file-utils:amd64 0.26-1ubuntu3
2024-06-04 06:06:00 startup archives unpack
2024-06-04 06:06:23 upgrade libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:23 status half-configured libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:24 status unpacked libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:24 status half-installed libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:25 status unpacked libavformat-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:26 upgrade libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3 7:4.4.2-0ubuntu0.22.04.1+esm4
2024-06-04 06:06:26 status half-configured libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:26 status unpacked libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:26 status half-installed libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm3
2024-06-04 06:06:29 status unpacked libavcodec-dev:amd64 7:4.4.2-0ubuntu0.22.04.1+esm4
